,restaurant,score,sentence,sentiment,polarity,positive,negative,neutral
0,name,review_rating,review_text,0.0,0.0,0,0,1
1,Broadway Oyster Bar,5,"Mike took great care of us @ the outside bar!! He was terrific! The oysters are fresh, the gumbo is lovely, the wings were very tasty! The eclectic nature of Broadway Oyster Bar only adds to you enjoyment. There is something to see every square inch!  We had s great time!",0.35625,0.6375,0,0,1
2,Broadway Oyster Bar,4,"Fun establishment in downtown Saint Louis. Parking is limited as the lot only has a few spots but paid street parking is available all around. Food was great - try the Alligator Cheesecake, you won’t regret it! I had the Shrimp voodoo tacos with jambalaya as a side and it was good. We also had the fish tacos with rice and beans which was also enjoyed. Live band was playing on a Wednesday evening",0.3072150072150072,0.48809523809523814,0,0,1
3,Broadway Oyster Bar,5,"Loved it! They were very accommodating with producing dairy free options. They have plenty of meat and fish options on their menu. The flavors, vibe, and employees were nothing short of amazing!  I highly recommend this place for anyone looking for oysters, fish, Cajun,  Louisiana style flavors.
They do have crawfish and gator on their menu. Plenty of seating inside the building or inside their outdoor tent (still warm even with the winter temperatures)
Stop by if you're in town!",0.4478571428571429,0.6057142857142858,0,0,1
4,Broadway Oyster Bar,4,"I would recommend call for a reservation. Not sure if we just came in during a busy time but the wait was long so we decided to eat at the bar.

Great vibe and atmosphere. Staff was good.

We would recommend the seafood. My spouse definitely enjoyed the oysters and salad. My chicken sandwich paired with the Cajun fries were ok.",0.21250000000000002,0.6361111111111112,0,0,1
5,Broadway Oyster Bar,5,"Went for lunch on a Monday.  We sat at the bar and were greeted immediately.  I had 10 raw oysters (only $1ea, M-F), and the Shrimp Voodoo Tacos.  My wife had the sampler platter and some sort of creamy cake with a caramel sauce.  The food came out very quickly and it was all delicious; I wish I could eat more. The food here was really, really good.  The decor is fun, Cajun-quirky with a lot of musically-themed artifacts (they have live music 7 days a week).  There's a bit of cool history here, too - some of the original building from 1843 is still in use.  Maybe my new favorite restaurant in St. Louis.  Will definitely return!",0.323099336560875,0.635852608929532,0,0,1
6,Broadway Oyster Bar,5,"Absolutely phenomenal. The blue crab cakes were the best I’ve ever had, the Mac n Cheese was so cheesy my lips were stickin together and was piled high with delicious buttery crawfish, and the shrimp and grits were better than moms. The food was fresh and amazing, the service was fast and friendly, and the drinks were strong. The owner even came and checked on us a couple times to make sure we were happy. Make a reservation as this place is usually packed. We will definitely be back. 5 stars",0.3511458333333333,0.5820138888888888,0,0,1
7,Broadway Oyster Bar,5,A great hangout spot in St. Louis. I was craving Cajun food and this place hit the spot. I tasted two of their half dozen oysters and taster platter and enjoyed everything. They had live music and I always enjoy music with food. I will try to visit this place again if I'm in town.,0.33393939393939387,0.5233333333333333,0,0,1
8,Broadway Oyster Bar,3,"They have a phone number, but don't pick up calls.  I tried calling to find out about vegetarian options, the menu online had two options,one was a very plain salad.  When I got there I asked the waiter and was told that I could get the fajitas vegetarian! The waiter was very nice, and the fajitas. The avocado was a little under ripe which was disappointing, but otherwise the food was good. The meat eaters enjoyed their food.",0.1407142857142857,0.6607142857142857,0,0,1
9,Broadway Oyster Bar,5,Yes Oyster Bar. Everything we ordered was amazing. It was my first time trying oysters and the Oysters Rockefeller is the way to go. 6 oysters to an order was about $17 but worth it for sure. This time around I didn't get to order from the original menu. There was a featured crawfish festival menu that had tons of items to choose from. I went with fried crawfish tails. So light and buttery (no sides included). My table also ordered the shrimp Po boy and a bread pudding. The bill totaled at like $80 with a decent tip included. I would recommend if you're in the mood for any seafood but don't get too dressed up this place has full on casual vibes. Service was great and the ambience was very unique. Will be back for sure.,0.32532051282051283,0.6457264957264959,0,0,1
10,Broadway Oyster Bar,5,"Always enjoy stopping at the oyster bar, good food and service.  Favorites are the alligator cheese cake and the enchiladas.  This trip we had the cheese burger and cat fish sub, both were great.  Definitely eat here when ever we can.",0.47500000000000003,0.5875,0,0,1
